001  00001 |Loss: 0.691 | Acc: 50.000% 
001  00002 |Loss: 0.756 | Acc: 25.000% 
001  00003 |Loss: 0.981 | Acc: 33.000% 
001  00004 |Loss: 1.226 | Acc: 37.000% 
001  00005 |Loss: 1.113 | Acc: 45.000% 
001  00006 |Loss: 1.010 | Acc: 50.000% 
001  00007 |Loss: 1.327 | Acc: 46.000% 
001  00008 |Loss: 1.293 | Acc: 46.000% 
001  00009 |Loss: 1.268 | Acc: 50.000% 
001  00010 |Loss: 1.567 | Acc: 47.000% 
001  00011 |Loss: 1.485 | Acc: 50.000% 
001  00012 |Loss: 1.423 | Acc: 50.000% 
001  00013 |Loss: 1.471 | Acc: 50.000% 
001  00014 |Loss: 1.517 | Acc: 46.000% 
001  00015 |Loss: 1.481 | Acc: 48.000% 
001  00016 |Loss: 2.023 | Acc: 45.000% 
001  00017 |Loss: 2.102 | Acc: 45.000% 
001  00018 |Loss: 2.084 | Acc: 44.000% 
001  00019 |Loss: 2.201 | Acc: 44.000% 
001  00020 |Loss: 2.548 | Acc: 43.000% 
001  00021 |Loss: 2.638 | Acc: 44.000% 
001  00022 |Loss: 2.644 | Acc: 44.000% 
001  00023 |Loss: 2.575 | Acc: 44.000% 
001  00024 |Loss: 2.667 | Acc: 43.000% 
001  00025 |Loss: 2.638 | Acc: 45.000% 
001  00026 |Loss: 2.659 | Acc: 44.000% 
001  00027 |Loss: 2.586 | Acc: 45.000% 
001  00028 |Loss: 2.633 | Acc: 45.000% 
001  00029 |Loss: 2.725 | Acc: 45.000% 
001  00030 |Loss: 2.914 | Acc: 45.000% 
001  00031 |Loss: 3.026 | Acc: 45.000% 
001  00032 |Loss: 2.987 | Acc: 46.000% 
001  00033 |Loss: 2.918 | Acc: 46.000% 
001  00034 |Loss: 2.914 | Acc: 46.000% 
001  00035 |Loss: 2.857 | Acc: 47.000% 
001  00036 |Loss: 2.871 | Acc: 46.000% 
001  00037 |Loss: 2.826 | Acc: 46.000% 
001  00038 |Loss: 2.780 | Acc: 47.000% 
001  00039 |Loss: 2.831 | Acc: 46.000% 
001  00040 |Loss: 2.851 | Acc: 46.000% 
001  00041 |Loss: 2.819 | Acc: 46.000% 
001  00042 |Loss: 2.804 | Acc: 45.000% 
001  00043 |Loss: 2.819 | Acc: 45.000% 
001  00044 |Loss: 2.791 | Acc: 46.000% 
001  00045 |Loss: 2.739 | Acc: 46.000% 
001  00046 |Loss: 2.682 | Acc: 47.000% 
001  00047 |Loss: 2.705 | Acc: 47.000% 
001  00048 |Loss: 2.683 | Acc: 47.000% 
001  00049 |Loss: 2.751 | Acc: 48.000% 
001  00050 |Loss: 2.870 | Acc: 49.000% 
001  00051 |Loss: 2.835 | Acc: 49.000% 
001  00052 |Loss: 2.877 | Acc: 49.000% 
001  00053 |Loss: 2.845 | Acc: 49.000% 
001  00054 |Loss: 2.833 | Acc: 49.000% 
001  00055 |Loss: 2.883 | Acc: 48.000% 
001  00056 |Loss: 2.891 | Acc: 48.000% 
001  00057 |Loss: 2.868 | Acc: 48.000% 
001  00058 |Loss: 2.842 | Acc: 49.000% 
001  00059 |Loss: 2.806 | Acc: 49.000% 
001  00060 |Loss: 2.767 | Acc: 49.000% 
001  00061 |Loss: 2.732 | Acc: 50.000% 
001  00062 |Loss: 2.691 | Acc: 50.000% 
001  00063 |Loss: 2.666 | Acc: 51.000% 
001  00064 |Loss: 2.711 | Acc: 50.000% 
001  00065 |Loss: 2.678 | Acc: 51.000% 
001  00066 |Loss: 2.656 | Acc: 51.000% 
001  00067 |Loss: 2.646 | Acc: 51.000% 
001  00068 |Loss: 2.620 | Acc: 51.000% 
001  00069 |Loss: 2.583 | Acc: 51.000% 
001  00070 |Loss: 2.558 | Acc: 51.000% 
001  00071 |Loss: 2.540 | Acc: 52.000% 
001  00072 |Loss: 2.537 | Acc: 52.000% 
001  00073 |Loss: 2.537 | Acc: 52.000% 
001  00074 |Loss: 2.523 | Acc: 52.000% 
001  00075 |Loss: 2.531 | Acc: 51.000% 
001  00076 |Loss: 2.512 | Acc: 51.000% 
001  00077 |Loss: 2.504 | Acc: 50.000% 
001  00078 |Loss: 2.488 | Acc: 50.000% 
001  00079 |Loss: 2.465 | Acc: 50.000% 
001  00080 |Loss: 2.453 | Acc: 50.000% 
001  00081 |Loss: 2.433 | Acc: 50.000% 
001  00082 |Loss: 2.415 | Acc: 49.000% 
001  00083 |Loss: 2.395 | Acc: 49.000% 
001  00084 |Loss: 2.376 | Acc: 49.000% 
001  00085 |Loss: 2.354 | Acc: 50.000% 
001  00086 |Loss: 2.337 | Acc: 50.000% 
